year,batter,runs_scored,balls_faced,boundaries,dot_balls,wickets,sixes,fours,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,average
2007,Iqbal Abdulla,1,2,0,1,0,0,0,50.0,0.0,50.0,0.0,0.0,
2007,J Arunkumar,23,24,5,14,3,0,5,95.83333333333334,20.833333333333336,58.333333333333336,0.0,20.833333333333336,7.666666666666667
2007,JA Morkel,241,168,32,56,8,14,18,143.45238095238096,19.047619047619047,33.33333333333333,8.333333333333332,10.714285714285714,30.125
2007,JDP Oram,18,13,2,3,1,1,1,138.46153846153845,15.384615384615385,23.076923076923077,7.6923076923076925,7.6923076923076925,18.0
2007,JH Kallis,199,188,27,71,11,4,23,105.85106382978724,14.361702127659576,37.765957446808514,2.127659574468085,12.23404255319149,18.09090909090909
2007,JR Hopes,221,152,35,57,11,8,27,145.39473684210526,23.026315789473685,37.5,5.263157894736842,17.763157894736842,20.09090909090909
2007,Joginder Sharma,16,11,2,3,2,1,1,145.45454545454547,18.181818181818183,27.27272727272727,9.090909090909092,9.090909090909092,8.0
2007,K Goel,76,79,11,44,5,4,7,96.20253164556962,13.924050632911392,55.69620253164557,5.063291139240507,8.860759493670885,15.2
2007,KC Sangakkara,320,207,49,56,10,8,41,154.58937198067633,23.67149758454106,27.053140096618357,3.864734299516908,19.806763285024154,32.0
2007,KD Karthik,145,108,17,31,7,4,13,134.25925925925927,15.74074074074074,28.703703703703702,3.7037037037037033,12.037037037037036,20.714285714285715
2007,Kamran Akmal,128,78,21,31,4,8,13,164.1025641025641,26.923076923076923,39.743589743589745,10.256410256410255,16.666666666666664,32.0
2007,L Balaji,0,5,0,3,1,0,0,0.0,0.0,60.0,0.0,0.0,0.0
2007,L Ronchi,34,34,7,21,2,1,6,100.0,20.588235294117645,61.76470588235294,2.941176470588235,17.647058823529413,17.0
2007,LA Pomersbach,152,101,22,28,1,9,13,150.4950495049505,21.782178217821784,27.722772277227726,8.91089108910891,12.871287128712872,152.0
2007,LPC Silva,40,27,6,7,2,1,5,148.14814814814815,22.22222222222222,25.925925925925924,3.7037037037037033,18.51851851851852,20.0
2007,LR Shukla,163,127,22,32,8,5,17,128.3464566929134,17.322834645669293,25.196850393700785,3.937007874015748,13.385826771653544,20.375
2007,LRPL Taylor,149,85,23,22,4,10,13,175.2941176470588,27.058823529411764,25.882352941176475,11.76470588235294,15.294117647058824,37.25
2007,M Kaif,176,176,20,76,9,6,14,100.0,11.363636363636363,43.18181818181818,3.4090909090909087,7.954545454545454,19.555555555555557
